comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes
37,"I hope the BG of 2050 provides more ESL support to our international community, so they can become more integrated into our workforce.",2077,1224,277,576,476,91,180,205,1601,1133,97,371
38,"BG should continue to focus on parks and quality of life.",1105,870,33,202,293,162,24,107,812,708,9,95
39,"Bowling Green will have multiple effectively located food pantries open to those in need.",1455,924,116,415,365,111,77,177,1090,813,39,238
40,"I would like to see diversified development on Exit 28 to enhance and beautify the area near one of our biggest draws - the National Corvette Museum.",1392,843,107,442,338,147,40,151,1054,696,67,291
41,"It is my hope that Bowling Green would strengthen and enforce its signage ordinance. Abandoned interstate and other signage is a bad look for BG.",395,199,29,167,115,35,11,69,280,164,18,98
42,"Bowling Green should address food dessert challenges and work to solve the problem with high quality options.",1217,584,179,454,327,41,106,180,890,543,73,274
43,"In 2050, BG will have a stronger student [and student family] community and support network between K-12 schools, not just within them.",994,553,62,379,259,73,42,144,735,480,20,235
44,"I hope that people will value and use the public transit system.",1663,1107,108,448,399,120,74,205,1264,987,34,243
45,"I hope to see art galleries in BG by 2050.",2024,1122,257,645,458,96,139,223,1566,1026,118,422
46,"BG should encourage a variety of housing styles.",962,598,57,307,269,100,38,131,693,498,19,176
47,"Bowling Green needs great places to dance during the weekends, not just country music line dancing.",916,402,127,387,256,50,60,146,660,352,67,241
48,"BG should take stronger measures to encourage the revitalization and/or restoration of dilapidated historic properties.",1079,783,52,244,289,139,30,120,790,644,22,124
49,"We need better outdoor advertising options on I-65.",169,28,60,81,47,2,10,35,122,26,50,46
50,"BG should encourage more walking downtown versus parking lots.",1114,697,100,317,284,100,48,136,830,597,52,181
51,"We need to expand or bolster public educational resources like the public library.",1642,1168,139,335,408,159,86,163,1234,1009,53,172
52,"BG should do more inclusive intercultural celebrations for international individuals.",3364,1486,783,1095,623,25,379,219,2741,1461,404,876
53,"BG needs a Catholic High School by 2050.",266,41,104,121,79,13,18,48,187,28,86,73
54,"Historic properties should be preserved as best as possible.",1077,796,40,241,289,163,22,104,788,633,18,137
55,"BG needs more locals to organize festivals and special events in the heart of downtown.",1473,915,110,448,370,136,62,172,1103,779,48,276
56,"I would like to see an increase in staff of BG police and WC sheriffs department to have more officers for our growing community.",3293,1887,510,896,609,407,50,152,2684,1480,460,744
57,"BG needs more indoor attractions for families, such as educational museums that are free or low cost to the general public.",1365,1022,76,267,347,173,50,124,1018,849,26,143
58,"I would like to see more private education options for our children.",1984,635,713,636,457,187,105,165,1527,448,608,471
59,"I would like more support for non-tech startups.",563,262,36,265,163,38,21,104,400,224,15,161
60,"I would like to see the city address vacant buildings in downtown and have a process for taxing owners.",738,448,38,252,197,70,17,110,541,378,21,142
61,"BG needs a children’s museum by 2050.",1367,889,131,347,339,133,63,143,1028,756,68,204
62,"I would like to see BG developed as an attractive destination for international students.",1261,531,242,488,338,20,155,163,923,511,87,325
63,"I would like to see more outdoor activities for the community in BG.",1244,961,30,253,314,187,21,106,930,774,9,147
64,"Bowling Green should develop more and better mental health services options.",1082,743,58,281,284,110,44,130,798,633,14,151
65,"My dream is to have an official Packer Backer Bar in BG.",91,2,35,54,35,1,10,24,56,1,25,30
66,"BG should take measures to be known as an advanced automotive manufacturing tech hub.",456,169,56,231,140,33,20,87,316,136,36,144
67,"I would like to see better road infrastructure around and inside Bowling Green in the future, especially as traffic increases.",1078,846,27,205,289,185,9,95,789,661,18,110
68,"Cultural and art festivals (music, etc) should continue and increase in number and diversity, reflecting the community.",2194,1386,260,548,484,106,165,213,1710,1280,95,335
69,"We will not criminalize homelessness in the future.",3231,1439,683,1109,614,58,298,258,2617,1381,385,851
70,"I hope we only allow right turns when entering Scottsville Rd from service roads, and use J turns to change directions, eliminating stoplights.",180,39,38,103,57,8,11,38,123,31,27,65
71,"We should incorporate large roundabouts at our major intersections to eliminate poorly timed stoplights in the future.",653,333,106,214,186,77,38,71,467,256,68,143
72,"We need more affordable housing options in the Bowling Green of 2050.",1249,850,92,307,326,119,62,145,923,731,30,162
73,"I feel we should build communities within housing developments that have grocery, stores, and more within walking distance--not just houses.",1500,1073,105,322,359,139,67,153,1141,934,38,169
74,"We need more FREE parking in the Bowling Green of the future.",871,571,84,216,220,113,15,92,651,458,69,124
75,"We will have reliable alternative methods of travel: walking, cycling, and public transport.",1556,1173,93,290,374,149,67,158,1182,1024,26,132
76,"We have great schools, but I would like to see all schools offering excellent education and opportunities. Public or private remains a choice.",1058,621,67,370,262,130,14,118,796,491,53,252
77,"I would like to see greenways in scenic areas for safer walking and bike riding.",1277,990,51,236,335,161,42,132,942,829,9,104
78,"I would love to see more public art.",2143,1359,239,545,479,119,136,224,1664,1240,103,321
79,"We will have modernized healthcare facilities.",1019,727,36,256,265,137,23,105,754,590,13,151
80,"I would like to see BG's businesses & locals embrace, welcome, & accept new businesses, instead of having one major dynamo partner per industry.",888,503,36,349,241,63,20,158,647,440,16,191
81,"We will have more healthcare options on the edge of town instead of concentrating them all downtown.",797,453,62,282,227,82,24,121,570,371,38,161
82,"We will have more health care specialists so we don't have to depend so much on Nashville.",1044,783,39,222,286,176,22,88,758,607,17,134
83,"I hope we preserve green space as we grow!",1070,879,20,171,287,169,17,101,783,710,3,70
84,"We will embrace R&D and micro factories to encourage more innovation and entrepreneurism in the automotive sector.",583,249,55,279,168,45,23,100,415,204,32,179
85,"In the future, our public transit will go to county parks.",1028,641,71,316,277,86,49,142,751,555,22,174
86,"We will be open to new businesses expanding into our region, as well as encouraging locally headquartered startups. (Both can be true.)",1522,974,67,481,355,162,32,161,1167,812,35,320
87,"We will have a digital version of events in the future that will be as used as SOKY Happening’s physical magazine today.",977,493,82,402,270,83,48,139,707,410,34,263
88,"We will have more pre-k options for students in the future, that are both affordable and available.",894,588,50,256,247,96,29,122,647,492,21,134
89,"We will have invested in the jobs and infrastructure to build the right solutions to road management early so that the growth won't hit us hard.",1167,859,40,268,301,159,24,118,866,700,16,150
90,"In the future, we'll be able to compete on pay with major cities for the best talent in the country.",1120,674,83,363,310,119,47,144,810,555,36,219
91,"We will have tax exemptions and other incentives for daycare providers, or for companies to offer daycare for their employees.",898,535,85,278,248,81,45,122,650,454,40,156
92,"We will have tax exemptions for companies who offer on-site healthcare and behavioral health.",618,276,82,260,189,48,42,99,429,228,40,161
93,"I would like to see us increase development of the riverfront, connecting it with downtown.",1479,1122,89,268,371,211,44,116,1108,911,45,152
94,"We should prioritize developing the county as much as we are developing the city. County development will aide in traffic / overpopulation.",660,367,92,201,185,68,35,82,475,299,57,119
95,"I hope we have more healthy food options and less greasy foods.",1197,861,66,270,301,148,30,123,896,713,36,147
96,"Bowling Green will increase its entertainment options, such as more concerts/sporting events.",1703,1168,119,416,430,203,56,171,1273,965,63,245
97,"BG will have better shopping options.",1503,909,135,459,373,166,59,148,1130,743,76,311
98,"Alvaton will get a major grocery store.",384,184,25,175,118,42,9,67,266,142,16,108
99,"We will have entertainment options for families without children.",1182,712,90,380,317,118,47,152,865,594,43,228
100,"I hope we have stricter guidelines for new buildings. More cheap-looking metal buildings in prominent locations will continue to make our city look bad.",737,456,52,229,213,102,19,92,524,354,33,137
101,"We will find a solution to combat panhandling. It makes a bad impression on visitors to our city. And it’s annoying!",2809,1846,304,659,553,426,22,105,2256,1420,282,554
102,"We will have other transportation options that are greener and cleaner.",1807,1149,193,465,431,98,132,201,1376,1051,61,264
103,"We will have more intentional and comprehensive visioning and innovative land-use planning with smart growth zoning to prevent uncontrolled sprawl.",972,621,59,292,273,119,40,114,699,502,19,178
104,"We'll have a community of local ambassadors that advocate/create unique experiences that discourage travel to Nashville and beyond.",429,148,60,221,132,17,25,90,297,131,35,131
105,"Locals will know our city’s history/how we grew/why we’re here. It’s compelling/organic to have more immersive experiences like Unseen BG.",1334,725,113,496,338,102,61,175,996,623,52,321
106,"BG will continue collaborating with other KY cities to provide unique tourist/staycation-drive experiences showcasing our stories.",1429,896,96,437,371,152,50,169,1058,744,46,268
107,"Locals in 2050 will understand that tourism, biz travel, & hospitality are important to our economy, saving locals thousands in tax dollars annually.",1604,1030,97,477,380,167,50,163,1224,863,47,314
108,"I hope we will continue advocating for revitalization of Downtown and utilizing its existing neighborhoods’ input/education/history on projects.",1093,785,35,273,288,122,31,135,805,663,4,138
109,"Downtown parking will mimic the WKU campus' design, encouraging more walkability/community spaces instead of dead asphalt.",982,606,71,305,260,90,45,125,722,516,26,180
110,"We'll continue telling grassroots stories & growing from them as neighbors...even when it’s uncomfortable/unsettling, like Jonesville & Shake Rag.",1384,748,133,503,354,77,86,191,1030,671,47,312
111,"Still growing out of the December 2021 tornadoes, BG and Warren County combined will have a shared disaster preparedness plan in 2050.",990,736,23,231,270,147,16,107,720,589,7,124
112,"In 2050, Bowling Green will provide sufficient shelter and services for the homeless population.",2308,1432,323,553,510,129,183,198,1798,1303,140,355
113,"In 2050, BG will no longer have individuals who have issues with meeting their basic needs.",929,519,80,330,257,50,49,158,672,469,31,172
114,"The BG of the future will not have developers purchasing lots and creating pay-to-park lots because it is detrimental to downtown growth.",849,534,80,235,232,103,35,94,617,431,45,141
115,"I hope our transit system will no longer be difficult to understand for many residents in the BG community.",1268,822,68,378,309,84,51,174,959,738,17,204
116,"By 2050, our transit system will expand to industrial areas.",1105,687,76,342,316,105,58,153,789,582,18,189
117,"In 2050, I will be able to afford to live here.",996,614,76,306,266,107,39,120,730,507,37,186
118,"In 2050, schools will be fully funded and not lacking in resources.",1219,842,81,296,318,122,54,142,901,720,27,154
119,"In 2050, BG will have a 5k walk / run in addition to the current BG marathon.",330,102,55,173,104,17,20,67,226,85,35,106
120,"We will have a full-fledged local transit service in 2050, even if there is limited capacity.",1452,920,136,396,363,95,97,171,1089,825,39,225
121,"The BG of 2050 will have a lot more nightlife.",1412,669,226,517,359,83,99,177,1053,586,127,340
122,"I hope we develop US 31W Bypass as a live shopping district with a great walking experience.",1357,959,78,320,343,165,42,136,1014,794,36,184
123,"We will develop Lover’s Lane to be ""5th Avenue"" of the town.",880,276,178,426,222,45,56,121,658,231,122,305
124,"The BG of the future will have improved highway signs that are in line with our beautification of I-65.",1309,682,126,501,321,122,49,150,988,560,77,351
125,"BG will avoid the onerous zoning many cities have, which inhibit growth and reduce affordability. We will keep it simple.",347,144,28,175,102,22,9,71,245,122,19,104
126,"In 2050, BG should have a permanent indoor ice rink.",1254,599,238,417,311,123,76,112,943,476,162,305
127,"I hope more businesses embrace putting up more American flags around town in 2050.",3233,1288,908,1037,605,364,55,186,2628,924,853,851
128,"As BG welcomes everyone, every incoming culture will work hard to blend in while preserving core southern culture.",1834,819,391,624,437,128,113,196,1397,691,278,428
129,"As BG welcomes folks from all over, we will share Kentucky traditions we want to keep and continue to build a distinctive BGKY culture.",1184,696,75,413,306,115,41,150,878,581,34,263
130,"We will have a tourist welcome center at the Corvette Museum I-65 exit, where the majority of tourists are entering our city.",1030,522,119,389,291,115,48,128,739,407,71,261
131,"In 2050, BG will have an upscale amphitheater.",2343,1492,241,610,491,222,95,174,1852,1270,146,436
132,"BG will name our neighborhoods and create maps to identify them in the future. (See nashvilleguru.com for example.)",970,439,97,434,261,60,49,152,709,379,48,282
133,"We will have high-speed rail that connects Pikeville, to Lexington, to Louisville, to BG, to Nashville.",1378,839,158,381,353,118,80,155,1025,721,78,226
134,"In the Bowling Green of the future, we will preserve our willingness to work together across entities, cultures, and generations.",1524,985,114,425,374,98,84,192,1150,887,30,233
135,"We will maintain the unique identities of Smiths Grove, Oakland, Woodburn, and Plum Springs in the future.",933,549,75,309,253,122,24,107,680,427,51,202
136,"In the future, we will allow all types of development, anywhere in the county.",139,19,56,64,43,1,12,30,96,18,44,34
137,"In the Bowling Green of 2050, development should only be allowed where adequate infrastructure exists.",616,367,32,217,179,78,13,88,437,289,19,129
138,"Existing roads will be improved for increased mobility through developed areas, rather than building new roads further out into the county.",767,438,52,277,220,97,21,102,547,341,31,175
139,"New roads will be constructed in rural areas to bypass and ultimately avoid traffic congestion.",1020,583,115,322,288,136,39,113,732,447,76,209
140,"The airport will be moved, and the current site redeveloped, by 2050.",523,266,60,197,141,60,19,62,382,206,41,135
141,"In 2050, not all parks will be sports complexes.",954,594,65,295,254,103,32,119,700,491,33,176
142,"I hope our new developments will fill in gaps of already developed areas by 2050.",582,275,35,272,159,44,16,99,423,231,19,173
143,"In 2050, existing roads will be improved & new roads constructed throughout the county to improve mobility that handles future growth.",1190,877,53,260,303,166,27,110,887,711,26,150
144,"By 2050, we will eliminate J Turns on Scottsville Road in Alvaton.",96,4,31,61,35,0,6,29,61,4,25,32
145,"The Bowling Green of the future will have sidewalks and parking that connect neighborhoods to the city.",1279,900,67,312,332,135,45,152,947,765,22,160
146,"Downtown will have a new residential tower that allows more people to live in the area and support the sustainability of local businesses.",1036,528,157,351,279,75,74,130,757,453,83,221
147,"Whenever large attractions are advertised by our visitors bureau, they will be tied to a smaller adjacent business (i.e. Beech Bend + Smokey Pig).",562,239,55,268,156,37,23,96,406,202,32,172
148,"BG attractions will continue collaborating to make the region a destination for holidays (Halloween, Christmas, etc.) with combined special tours and offers.",1738,1060,151,527,413,158,69,186,1325,902,82,341
149,"We will have a focus to preserve the Southern hospitality we are known for, which will be critical  in differentiating us as a travel destination.",1772,1056,150,566,426,247,28,151,1346,809,122,415
150,"BG will be known as a transportation destination: planes, trains & automobiles. We will capitalize on that to support other entertainment endeavors.",893,437,125,331,244,64,56,124,649,373,69,207
151,"The Church Street area of downtown and the west end will no longer have a sewage smell that is prominent (especially after rainfall).",874,511,32,331,237,93,18,126,637,418,14,205
152,"Scottsville Rd through the mall area will be 6 lanes-3 on each side-to help bottlenecks due to light sequencing.",1195,584,187,424,294,127,34,133,901,457,153,291
153,"In 2050, our public transit options will be more inclusive.",1881,1153,174,554,422,87,107,228,1459,1066,67,326
154,"We will have more international cuisine options in the future, with more authentic restaurants (Mediterranean, Greek, Italian, Middle Eastern, African, Moroccan, etc.).",1717,1040,190,487,395,103,115,177,1322,937,75,310
155,"I would like to see BG be a place you can afford to live (affordable housing) and work.",985,713,38,234,269,119,31,119,716,594,7,115
156,"We will add additional trolleys for hop on/hop off service in the future.",1485,869,164,452,364,107,84,173,1121,762,80,279
157,"We will have more daycares in 2050!",733,404,53,276,202,62,26,114,531,342,27,162
158,"We will plan infrastructure to accommodate self-driving vehicles.",142,26,48,68,47,3,10,34,95,23,38,34
159,"We will have the infrastructure to support flying/hovering vehicles.",177,28,72,77,51,5,10,36,126,23,62,41
160,"In 2050, we'll have more infrastructure to support electric bikes.",914,431,150,333,246,38,86,122,668,393,64,211
161,"In the future, we will influence retail stores to offer the same scale and variety as they do in larger communities.",1037,504,103,430,274,76,43,155,763,428,60,275
162,"Our arts community will thrive and attract top talent and performers to our city on a regular basis.",1572,1026,142,404,410,125,95,190,1162,901,47,214
163,"We will celebrate the art and history of KY to those who choose to land here for the long term.",1113,625,88,400,295,79,53,163,818,546,35,237
164,"We will ensure neighborhoods with the highest transportation barriers have access to public transportation.",1155,773,73,309,298,91,57,150,857,682,16,159
165,"In the future, there will be no more parking lots--only parking garages to preserve greenspace.",834,376,148,310,222,46,58,118,612,330,90,192
166,"I hope BG is a national leader in meeting the 4 pillars of self-sufficiency: Transportation, Employment, Childcare and Housing.",1247,869,58,320,321,121,42,158,926,748,16,162
167,"We will have a robust Angel Investor community to provide access to further development  and expand entrepreneurship opportunities.",491,192,52,247,145,23,26,96,346,169,26,151
168,"We will make BG a premium “day-destination” for Murfreesboro-Nashville-Franklin-Louisville residents.",1369,754,158,457,362,134,68,160,1007,620,90,297
169,"By 2050, Bowling Green will diversify our industry sectors!",783,379,57,347,224,54,39,131,559,325,18,216
170,"BG will be a leader in flexible work options to meet the needs / desires of the Gen Z / Gen A workforce.",1309,602,239,468,334,53,125,156,975,549,114,312
171,"We will invest in a work campers RV pad near the Transpark or South Industrial Park to host seasonal workers.",252,68,52,132,80,9,17,54,172,59,35,78
172,"Local employers will adopt work-based learning models (co-ops, internships, apprenticeships, etc.) to find / sustain a viable workforce.",1020,665,37,318,268,113,23,132,752,552,14,186
173,"In 2050, BG will incentivize entrepreneurship by investing more in small business accelerator programs.",886,553,40,293,242,93,21,128,644,460,19,165
174,"As BG grows, we will mitigate ""food deserts"" by incentivizing grocery chains, public transportation planning, and new farmers market locations.",1289,838,89,362,336,98,64,174,953,740,25,188
175,"We will create community gardens in residential areas that contribute to better access to healthy food for all.",1151,785,81,285,315,121,49,145,836,664,32,140
176,"We will have increased density in housing downtown, with more vertical development and condo ownership opportunities.",686,323,120,243,186,49,37,100,500,274,83,143
177,"We will have more regulations on locations of smoke and vape shops in proximity to schools and daycares.",1166,689,126,351,299,160,33,106,867,529,93,245
179,"We will add a new parking garage downtown that is welcoming, similar to Nashville Airport's lighting, space, and color.",676,281,101,294,190,51,34,105,486,230,67,189
180,"In 2050, we'll have a commuter pool setup for daily commuters to Nashville that allow residents to share a journey.",793,380,80,333,210,50,38,122,583,330,42,211
181,"We will have multiple free concerts in Downtown parks/spaces at once, i.e. Fountain Row Friday music @ Fountain & Circus Square, Riverfront, Shake Rag, SoKy Market.",1394,918,82,394,351,137,45,169,1043,781,37,225
182,"We will have more signage, events, and attractions dedicated to BG’s rich music heritage - Ernest Hogan, Sam Bush, Nappy Roots, Cage the Elephant, etc.",1040,517,135,388,292,76,68,148,748,441,67,240
183,"Duncan Hines Days will grow into a signature/legacy BG event w/free accessible activities, engrained into our culinary & education culture.",1541,790,179,572,386,122,85,179,1155,668,94,393
184,"The Duncan Hines brand will invest in BG as its signature event host, naming an element of a major public park/space, i.e. Riverfront Park.",1328,649,142,537,360,134,53,173,968,515,89,364
185,"Fountain Square will remain at the heart of the City, but Downtown will continue to grow from WKU's Hill to the Riverfront.",1409,1040,50,319,364,188,29,147,1045,852,21,172
186,"The Riverfront’s Whitewater Park will draw river/outdoor recreation enthusiasts/tourists to Downtown. This was a river town once & will be again in 2050!",1803,1298,110,395,413,220,47,146,1390,1078,63,249
187,"A trolley/bus loop will activate for all Downtown events to carry attendees across Fountain Square > Circus Square > Shake Rag > Riverfront > SoKY Market.",1284,834,93,357,335,121,54,160,949,713,39,197
188,"We will normalize closing major downtown streets for community-wide events as they grow, i.e. Harvest Fest, Duncan Hines Days, Downtown Lights Up.",1285,792,120,373,346,129,68,149,939,663,52,224
189,"We'll have more niche cafes, like cat cafes or arcade cafes, as part of the growth of our entertainment scene.",1238,615,224,399,349,80,105,164,889,535,119,235
190,"BG will have a bourbon distillery.",1319,617,260,442,331,106,88,137,988,511,172,305
191,"We will have a satellite tasting room for a major Bourbon Trail distillery.",987,392,196,399,263,58,79,126,724,334,117,273
192,"Downtown BG will have a couple of boutique hotels which tell our unique story (like the Graduate brand by Hilton that highlights WKU or KY).",1736,836,256,644,427,138,90,199,1309,698,166,445
193,"We will have historic/nightly walking tours year-round instead of seasonally to support the hospitality workforce for more tour guides.",850,384,101,365,218,45,42,131,632,339,59,234
194,"Lost River Cave will activate its Cavern Nite Club once a year with a themed ball.",1061,551,104,406,281,77,52,152,780,474,52,254
195,"We'll have more Love BGKY art installations around the community with custom/unique components that reflect a business, attraction, etc.",1317,636,212,469,352,65,97,190,965,571,115,279
196,"Downtown’s parking structure will have parking attendants to guide entry and exit and make the parking less confusing.",271,69,80,122,77,5,19,53,194,64,61,69
197,"In 2050, K-12 schools will introduce our kids to the heart of our City through field trips to public parks, spaces, events, and venues downtown.",1320,846,91,383,337,127,51,159,983,719,40,224
198,"In 2050, Shake Rag histories live on through the Southern Queen Hotel, Mustang Club, Shake Rag Spirits Lounge, & George Washington Carver Center.",1254,647,135,472,323,55,83,185,931,592,52,287
199,"Downtown’s parking structure will have exterior projecting signage that shows you can actually park and dine there.",1382,833,97,452,343,141,38,164,1039,692,59,288
200,"The Fringe will remain a Downtown food truck park destination concept offering complementary options compared to Downtown restaurants.",833,401,72,360,226,60,41,125,607,341,31,235
201,"Downtown infrastructure will continue to support all major venues activated at once, offering ample parking without any legitimate issues.",1018,667,50,301,259,111,28,120,759,556,22,181
202,"We'll keep expanding Operation PRIDE & incorporate ""rewilding"" areas of green space w/ native plants and trees which require less maintenance cost.",1163,784,112,267,313,121,57,135,850,663,55,132
203,"We'll use our airport for public events, starting with food truck and open air concerts.",944,479,120,345,269,90,54,125,675,389,66,220
204,"In 2050, we'll focus on ALL parts of BG/WC, and not just Downtown.",909,635,39,235,257,133,21,103,652,502,18,132
205,"In 2050, we'll have an Amtrak stop in Bowling Green.",1368,941,118,309,349,161,62,126,1019,780,56,183
206,"In 2050, our community will continue to support the public library's work to provide access to services and programming for all!",1337,1037,64,236,326,126,56,144,1011,911,8,92
207,"The history, heritage, and ""specialness"" of historic properties will continue to be preserved.",1096,752,60,284,295,147,36,112,801,605,24,172
208,"In 2050, we won't preserve properties just for the sake of preserving them.",168,35,37,96,47,7,3,37,121,28,34,59
209,"In 2050, BG will maintain its unique identity and NOT just be ""northern Nashville.""",1398,918,72,408,355,165,35,155,1043,753,37,253
210,"In the future, we'll have fewer chain restaurants and more unique, farm-to-table dining experiences.",1056,724,71,261,267,130,30,107,789,594,41,154
211,"We'll have a high-tech cafe hangout with high speed internet for VR, gaming, education collaboration, and business.",628,214,112,302,193,28,49,116,435,186,63,186
212,"We will invest in our existing arts experiences like the Kentucky Museum, Downing, and Riverview, and most locals will know they exist.",1418,941,103,374,359,120,71,168,1059,821,32,206
213,"BG in 2050 will have a Fairness Ordinance.",2837,1002,717,1118,566,29,322,215,2271,973,395,903
214,"BG will achieve Zero Waste by 2050, using policy initiatives across fields like what San Francisco is doing to create a healthier city.",2656,1136,635,885,554,52,288,214,2102,1084,347,671
215,"BG will invest in The STEAM Factory, supporting small-scale artistic innovation that complements technological and industrial initiatives.",452,182,39,231,126,11,29,86,326,171,10,145
216,"We'll create a solar energy incentive program for homeowners, helping transition to renewable energy with many homes having high solar rankings.",2012,1065,330,617,455,67,174,214,1557,998,156,403
217,"We'll model Seattle’s Racial Equity Toolkit, a framework for city agencies to solicit the input of communities of color in policymaking.",2097,657,634,806,482,8,301,173,1615,649,333,633
218,"BG will maintain its identity as home of the Corvette.",1884,1199,149,536,433,257,32,144,1451,942,117,392
219,"The Kentucky Museum will remain financially self-sufficient & able to be the region's arts and history hub as a WKU-affiliated private 501(c)(3).",944,529,48,367,240,72,29,139,704,457,19,228
220,"With the access to WKU, BG will have its own Science Museum.",1188,793,79,316,321,131,51,139,867,662,28,177
221,"We'll have a vape-free ordinance for restaurants and other places of business.",1575,974,204,397,366,201,58,107,1209,773,146,290
222,"We'll lift zoning restrictions for regulated, in-home childcare to alleviate extreme childcare waitlists.",226,77,39,110,75,10,12,53,151,67,27,57
223,"Each park will be connected by Greenway trails for safer accessibility.",1082,698,68,316,277,91,42,144,805,607,26,172
224,"We'll have more family friendly entertainment options in 2050.",1249,914,52,283,316,197,22,97,933,717,30,186
225,"We'll have more family friendly breweries with yard games in 2050.",1445,694,266,485,368,108,97,163,1077,586,169,322
226,"In 2050, Bowling Green will have multiple piano bars.",467,128,132,207,133,23,42,68,334,105,90,139
227,"In the future, we'll have a comedy club.",630,318,80,232,176,55,36,85,454,263,44,147
228,"Bowling Green will have multiple minature golf courses in the future.",663,240,146,277,193,55,36,102,470,185,110,175
229,"Bowling Green will get a Top Golf by 2050.",1418,431,466,521,350,80,117,153,1068,351,349,368
230,"In the future, the 31W Bypass will look less like asphalt-land, with more trees and grass.",1127,831,62,234,303,156,29,118,824,675,33,116
231,"Bowling Green will have a large artisan mall akin to ""The Factory"" in Franklin, TN.",723,308,97,318,198,39,46,113,525,269,51,205
232,"The Bowling Green of 2050 will offer enough housing options for all income levels.",1407,995,87,325,352,130,58,164,1055,865,29,161
233,"In 2050, we'll have various ""districts"" throughout Warren County with their own style, color(s), etc.",701,250,120,331,198,35,45,118,503,215,75,213
